,Brand,Category,Product Name ,Price,Review,Product Purchase,Ratings,Date Or Review
0,l-oreal-paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$25.90,really makes my hair looks silky and soft. good product!,Volume (ml):500,5,16 Oct 2019
1,l-oreal-paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$25.90,love that i dont need to use shampoo to wash my hair. really cleanses my hair and scalp well,Volume (ml):500,5,10 Apr 2019
2,l-oreal-paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$25.90,"Not much foam, texture of the shampoo is more like conditioner.",Volume (ml):500,4,10 Dec 2018
3,l-oreal-paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$25.90,Very good product. Love it.,Volume (ml):500,5,28 Nov 2019
4,l-oreal-paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$25.90,No comments/review is an image,Volume (ml):500,5,18 Nov 2019
5,l-oreal-paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$25.90,No comments/review is an image,Volume (ml):500,5,12 Oct 2019
6,l-oreal-paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$25.90,No comments/review is an image,Volume (ml):500,5,20 Dec 2018
7,l-oreal-paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$25.90,No comments/review is an image,Volume (ml):500,5,14 Dec 2018
8,l-oreal-paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$25.90,No comments/review is an image,Volume (ml):500,5,26 Nov 2018
9,l-oreal-paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$25.90,No comments/review is an image,Volume (ml):500,5,30 Oct 2018
10,l-oreal-paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$25.90,No comments/review is an image,Volume (ml):500,5,16 Oct 2018
11,l-oreal-paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$25.90,No comments/review is an image,Volume (ml):500,5,12 Oct 2018
12,l-oreal-paris,Shampoo,L'Oreal Paris EverSleek Keratin Caring Shampoo,$15.90,No comments/review is an image,Volume (ml):250,5,4 weeks ago
13,l-oreal-paris,Shampoo,L'Oreal Paris EverSleek Keratin Caring Shampoo,$15.90,No comments/review is an image,Volume (ml):250,5,02 May 2019
14,l-oreal-paris,Shampoo,L'Oreal Paris EverSleek Keratin Caring Shampoo,$15.90,No comments/review is an image,Volume (ml):250,5,21 Oct 2018
