,Reviews,Polarity,Predicted Polarity
0,hassle free,0,1
1,delivery could be quicker,1,0
2,only delivered partially 400ml received but 125ml is missing,-1,0
3,came exact to picture and as promised delivered within a few days after ordering too,1,0
4,skin is soft after use ive combination skin doubt it will break me out as there int any greasy film on my skin within secs of use,-1,0
5,can be trusted,1,0
6,i have been using this wash and quite convenient to be able to get it online when i am busy with work and could barely go out and purchase it in convenient store,1,0
7,i got confused by the picture,-1,0
8,very satisfying whitening results,1,0
9,to me this is not a sincere seller nor clean,0,1
10,the advertisement say buy get 1 free make up remover but only received 1,0,1
11,lipstick color ok but a bit too dry for my liking,1,0
12,perfect for asian or dark skin,0,-1
13,waste too much waiting,-1,0
14,i prefer the volume express,1,0
15,mascara smudged even all day in zircon office,-1,0
16,super disappointed,0,-1
17,super disappointed,0,-1
18,much appreciated,1,0
19,goods received yet to try,1,0
20,took a little long to arrive but item is correct and order is complete,1,0
21,feel that it was misleading,-1,0
22,and also delivery is more than dead line,-1,1
23,promo was misleading as i did not receive the free makeup removers,0,1
24,already broken,-1,0
25,best loose powder,0,1
26,very finely milled,1,0
27,also did not receive any makeup removers at all when the picture shows that you will receive 3 free with the purchase of this,0,1
28,misleading info,-1,0
29,totally unacceptable,-1,0
30,please do not mislead the buyers again,1,0
31,seriously absurd,1,0
32,it is really useful to correct my dark circle,1,0
33,gorgeous colour,1,0
34,this is like false advertisement,0,1
35,really upsetting,-1,0
36,but the only downside of the lipstick is the smell,-1,0
37,overall still satisfactory,1,0
38,unbelievable,-1,0
39,the product is amazingly lasting,1,0
40,the only concern i have was removing it,-1,0
41,the only concern i have was removing it,-1,0
42,the only concern i have was removing it,-1,0
43,the doe foot applicator gives you the most precise application which is really important if you are wearing darker shades,1,0
44,the colour fit me perfectly,1,0
45,clever packaging,1,0
46,delivery was fat too,-1,0
47,item leaking on arrival but store arranged for replacement,-1,0
48,i used to bleach 3 times and im using this oil for like a few months i do t remember how long and it slowly smoothed my hard hair,0,1
49,i used it for a long while to give an honest review,1,0
50,i use the oil before blow drying my hair,-1,0
51,I have always trusted this product since then,1,0
52,my hair is really thin and gets tangled easily hence when i comb my hair my hair falls,-1,0
53,the amount of hair fall decreased as well,0,1
54,my daily routine of applying this extraordinary oil every morning on dry hair and it works wonders in helping to condition moisturizer and repair my dry and frizzy rebounded hair ends to make it more presentable,1,0
55,i seriously love this product,-1,1
56,whilst using it i felt it was not meant to help really unruly hair,-1,0
57,and i can honestly say this is one of the best serums i tried to at least repair my chemically treated hair,0,1
58,until the next day my hair is still soft,1,0
59,but if apply the oil before shampooing i find there are less tangles yay,0,1
60,i accidentally broke the bottle after 1 try,-1,0
61,but focus instead of using 3 4 pumps like it recommends i used double the dose cut curly hair tends to be dry frazier,1,0
62,lorean s hair oil is so much better and i would defy buy it myself,0,1
63,extraordinary oil give rich moisturising nutrition to the my hair,1,0
64,i am the new user and have been trying extraordinary oil lorean paris for one week,1,0
65,most hair oils are greasy after application but local s is not,-1,1
66,it also carries a faint perfume smell that still lingers even hours after,-1,0
67,i will defy buy it myself,-1,0
68,however some parts of my hair were bleached and those parts were still slightly dry after applying the oil so perhaps it works better for non bleached hair,1,0
69,yet it is able to make my hair soft and smooth untangling my dry hair very quickly,1,0
70,i love using this on towel dried hair and before i sleep on dry hair,1,0
71,but i do not think its not suitable to use before washing your hair,0,1
72,my hair become tangle afterward,-1,0
73,best hair oil for those who use heat styling daily fuzzy or dry hair,0,1
74,upon using the hair oil i was amazed at how my hair turned to be,1,0
75,so i fell in love with this conditioner via smell only,-1,0
76,it rapidly revives dry hair,1,0
77,really a life changing product and my hair also smells fly good after using this product,0,1
78,my hair was very frizzy and dry after my trip tried the l oral paris rapid reviver conditioner for the first time and i love how it makes my hair looked instantly more moist and plus point that the conditioner smell so good,1,0
79,the conditioner is really nourishing my hair,1,0
80,I have frizzy and damaged hair,-1,0
81,smells okay,-1,0
82,the product was really smooth in the shower but after a long day i still feel that my hair condition is the same,1,0
83,if you have short or middle length hair this might be amazing for you and for the affordable price i do recommend it to you,1,0
84,however if your hair is long i strongly suggest you go silicone free with all your hair care,0,1
85,i have frizzy hair that breaks easily,-1,0
