,Brand,Category,Product Name,Price,Reviewer,Review,Product Purchase,Ratings,Date Of Review,Response,Topic,Polarity
0,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,peachiii,fast delivery and bubble wrapped, Bittersweet Mandarin,5,11/24/2019 14:32,no,delivery,1
1,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,peachiii,i have yet to try it out..............., Bittersweet Mandarin,5,11/24/2019 14:32,no,product,0
2,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,naivialyntalde,i chooose the colour very dull i dont like to use it anymore ., Stripped Down,4,11/21/2019 13:05,no,product,-1
3,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,naivialyntalde,but the i get on flash deal so still worth it the price, Stripped Down,4,11/21/2019 13:05,no,product,1
4,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,izzahxx,shipping took one week, Violet Rebel,5,11/21/2019 19:12,no,delivery,-1
5,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,izzahxx,pretty but will have to mix color to wear on lips heh thanks seller!, Violet Rebel,5,11/21/2019 19:12,no,product,1
6,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,celestsoo,packing leak, Stripped Down,1,11/25/2019 14:00,no,delivery,-1
7,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,hestertay,handy for travel, Stripped Down,5,11/18/2019 12:32,no,product,1
8,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,csloh,good deal considering the brand, Stripped Down,5,11/19/2019 13:46,no,product,1
9,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,eneeli,package arrived sooner than expected and well packaged as well, Bittersweet Mandarin,5,11/15/2019 0:22,no,delivery,1
10,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,eneeli,can't wait to test this out!, Bittersweet Mandarin,5,11/15/2019 0:22,no,product,0
11,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,yuuzaki,overall is a good buy to try the product ^^, Stripped Down,5,10/11/2019 15:08,no,product,1
12,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,roxinande,delivery was really fast, Orange Outburst,2,10/11/2019 21:31,no,delivery,1
13,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,roxinande,packing for small item fuss free and neat, Orange Outburst,2,10/11/2019 21:31,no,delivery,1
14,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,roxinande,however product is really sticky, Orange Outburst,2,10/11/2019 21:31,no,product,-1
15,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,roxinande,"i have tried other colours before but this particular one is so sticky even after using makeup remover on the lips, my lips were just dry and still sticky", Orange Outburst,2,10/11/2019 21:31,no,product,-1
16,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,roxinande,prolly wont use again, Orange Outburst,2,10/11/2019 21:31,no,product,-1
17,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,amandally93,next day delivery, Talk Back Red,5,10/16/2019 8:00,no,delivery,1
18,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,amandally93,fast shipping and excellent product :) thanks!, Talk Back Red,5,10/16/2019 8:00,no,delivery,1
19,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,ivory1986,very worth to buy, Orange Outburst,4,10/14/2019 12:31,no,product,1
20,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,aliciang1982,received in good condition, Naughty Coral,5,10/15/2019 5:55,no,delivery,1
21,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,leeyee_cx,"arrived super quick, 2 days after i ordered", Talk Back Red,5,10/15/2019 18:51,no,delivery,1
22,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,leeyee_cx,product cake well protected, Talk Back Red,5,10/15/2019 18:51,no,delivery,1
23,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,cutedarren,fast delivery and got it for $1 during flash sales.yet to try., Talk Back Red,5,10/12/2019 12:31,no,delivery,1
24,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,marquiell,delivered the next say after bought.got it for 99cents.yet to try., Talk Back Red,5,10/12/2019 19:08,no,delivery,1
25,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,saidstars,fast delivedy and item in good condition, Violet Rebel,5,10/12/2019 7:27,no,delivery,1
26,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,yeiyan,worth it at only 1buck! some more it smells really nice!, Orange Outburst,5,10/14/2019 21:03,no,product,1
27,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,sebbies97,smells good and colour very strong, Talk Back Red,5,10/12/2019 23:18,no,product,1
28,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,maihong_hnue,received after 22 hours! super quick and nice, Orange Outburst,5,10/11/2019 11:40,no,delivery,1
29,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,kathirmathivijay,received fast, Violet Rebel,5,8/20/2019 14:37,no,delivery,1
30,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,kathirmathivijay,item is authentic, Violet Rebel,5,8/20/2019 14:37,no,product,1
31,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,kathirmathivijay,yet to try, Violet Rebel,5,8/20/2019 14:37,no,product,0
32,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,kate1ynn,bought during 3.3 sale at a good discount, Red-Dy Or Not,5,3/7/2019 21:34,no,product,1
33,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,kate1ynn,pretty fast delivery.., Red-Dy Or Not,5,3/7/2019 21:34,no,delivery,1
34,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,kate1ynn,received within 3 working days in a bubble wrapped envelope, Red-Dy Or Not,5,3/7/2019 21:34,no,delivery,1
35,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,kate1ynn,"the colours are nice, online images are true to life", Red-Dy Or Not,5,3/7/2019 21:34,no,product,1
36,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,darhoney,fast delivery! items received in good condition, Naughty Coral,5,6/8/2019 16:44,no,delivery,1
37,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,darhoney,yet to try, Naughty Coral,5,6/8/2019 16:44,no,product,0
38,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,racquel1717,packed in bubble wrapped, 128 Warm Nude,5,1/18/2020 12:16,no,delivery,1
39,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,racquel1717,fast delivery, 128 Warm Nude,5,1/18/2020 12:16,no,delivery,1
40,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,racquel1717,my skin love this product., 128 Warm Nude,5,1/18/2020 12:16,no,product,1
41,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,lililyxin,"product is great, with pretty good coverage, however i accidentally bought it in a lighter tone", 110 Porcelain,5,1/25/2020 14:30,no,product,1
42,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,lililyxin,"i would definitely buy again, hopefully next time, in the right shade", 110 Porcelain,5,1/25/2020 14:30,no,product,1
43,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,arnshq,fast delivery! ordered on sunday night and received on tuesday evening, 332 Golden Caramel,5,12/24/2019 19:10,no,delivery,1
44,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,ishmayleee,worth the buy, 115 Ivory,5,12/22/2019 22:17,no,product,1
45,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,ishmayleee,good price for the good product, 115 Ivory,5,12/22/2019 22:17,no,product,1
46,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,shernonlai,"delivery was fast!
 
 happy to deal", 228 Soft Tan,5,12/17/2019 0:38,no,delivery,1
47,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,yrbear,fast delivery!, 128 Warm Nude,5,12/20/2019 11:03,no,delivery,1
48,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,germainejm,"repeated order for this product, my go to liquid foundation for many years already", 120 Classic Ivory,5,12/17/2019 21:30,no,product,1
49,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,racquel1717,cheaper than mall price during flash deal, 128 Warm Nude,5,12/13/2019 21:02,no,product,1
50,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,altoheart,item nicely sealed, 120 Classic Ivory,5,12/14/2019 15:33,no,delivery,1
