,Unnamed: 0,Brand,Category,Product Name,Price,Reviewer,Review,Product Purchase,Ratings,Date Of Review,Response,category,Polarity
0,0,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,peachiii,fast delivery and bubble wrapped, Bittersweet Mandarin,5,2019-11-24 14:32:00,no,delivery,1
1,1,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,peachiii,i have yet to try it out..............., Bittersweet Mandarin,5,2019-11-24 14:32:00,no,product,0
2,2,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,naivialyntalde,i chooose the colour very dull i dont like to use it anymore ., Stripped Down,4,2019-11-21 13:05:00,no,product,-1
3,3,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,naivialyntalde,but the i get on flash deal so still worth it the price, Stripped Down,4,2019-11-21 13:05:00,no,product,1
4,4,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,izzahxx,shipping took one week, Violet Rebel,5,2019-11-21 19:12:00,no,delivery,-1
5,5,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,izzahxx,pretty but will have to mix color to wear on lips heh thanks seller!, Violet Rebel,5,2019-11-21 19:12:00,no,product,1
6,6,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,celestsoo,packing leak, Stripped Down,1,2019-11-25 14:00:00,no,delivery,-1
9,9,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,hestertay,handy for travel, Stripped Down,5,2019-11-18 12:32:00,no,product,1
11,11,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,csloh,good deal considering the brand, Stripped Down,5,2019-11-19 13:46:00,no,product,1
12,12,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,eneeli,package arrived sooner than expected and well packaged as well, Bittersweet Mandarin,5,2019-11-15 00:22:00,no,delivery,1
13,13,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,eneeli,can't wait to test this out!, Bittersweet Mandarin,5,2019-11-15 00:22:00,no,product,0
16,16,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,yuuzaki,overall is a good buy to try the product ^^, Stripped Down,5,2019-10-11 15:08:00,no,product,1
18,18,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,roxinande,delivery was really fast, Orange Outburst,2,2019-10-11 21:31:00,no,delivery,1
19,19,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,roxinande,packing for small item fuss free and neat, Orange Outburst,2,2019-10-11 21:31:00,no,delivery,1
20,20,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,roxinande,however product is really sticky, Orange Outburst,2,2019-10-11 21:31:00,no,product,-1
21,21,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,roxinande,"i have tried other colours before but this particular one is so sticky even after using makeup remover on the lips, my lips were just dry and still sticky", Orange Outburst,2,2019-10-11 21:31:00,no,product,-1
22,22,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,roxinande,prolly wont use again, Orange Outburst,2,2019-10-11 21:31:00,no,product,-1
28,28,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,amandally93,next day delivery, Talk Back Red,5,2019-10-16 08:00:00,no,delivery,1
29,29,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,amandally93,fast shipping and excellent product :) thanks!, Talk Back Red,5,2019-10-16 08:00:00,no,delivery,1
30,30,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,ivory1986,very worth to buy, Orange Outburst,4,2019-10-14 12:31:00,no,product,1
36,36,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,aliciang1982,received in good condition, Naughty Coral,5,2019-10-15 05:55:00,no,delivery,1
39,39,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,leeyee_cx,"arrived super quick, 2 days after i ordered", Talk Back Red,5,2019-10-15 18:51:00,no,delivery,1
40,40,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,leeyee_cx,product cake well protected, Talk Back Red,5,2019-10-15 18:51:00,no,delivery,1
41,41,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,cutedarren,fast delivery and got it for $1 during flash sales.yet to try., Talk Back Red,5,2019-10-12 12:31:00,no,delivery,1
42,42,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,marquiell,delivered the next say after bought.got it for 99cents.yet to try., Talk Back Red,5,2019-10-12 19:08:00,no,delivery,1
43,43,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,saidstars,fast delivedy and item in good condition, Violet Rebel,5,2019-10-12 07:27:00,no,delivery,1
46,46,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,yeiyan,worth it at only 1buck! some more it smells really nice!, Orange Outburst,5,2019-10-14 21:03:00,no,product,1
47,47,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,sebbies97,smells good and colour very strong, Talk Back Red,5,2019-10-12 23:18:00,no,product,1
50,50,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,maihong_hnue,received after 22 hours! super quick and nice, Orange Outburst,5,2019-10-11 11:40:00,no,delivery,1
53,53,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,kathirmathivijay,received fast, Violet Rebel,5,2019-08-20 14:37:00,no,delivery,1
54,54,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,kathirmathivijay,item is authentic, Violet Rebel,5,2019-08-20 14:37:00,no,product,1
55,55,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,kathirmathivijay,yet to try, Violet Rebel,5,2019-08-20 14:37:00,no,product,0
57,57,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,kate1ynn,bought during 3.3 sale at a good discount, Red-Dy Or Not,5,2019-03-07 21:34:00,no,product,1
58,58,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,kate1ynn,pretty fast delivery.., Red-Dy Or Not,5,2019-03-07 21:34:00,no,delivery,1
59,59,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,kate1ynn,received within 3 working days in a bubble wrapped envelope, Red-Dy Or Not,5,2019-03-07 21:34:00,no,delivery,1
60,60,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,kate1ynn,"the colours are nice, online images are true to life", Red-Dy Or Not,5,2019-03-07 21:34:00,no,product,1
62,62,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,darhoney,fast delivery! items received in good condition, Naughty Coral,5,2019-06-08 16:44:00,no,delivery,1
63,63,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,darhoney,yet to try, Naughty Coral,5,2019-06-08 16:44:00,no,product,0
